date,session_key,pressure,rainfall,track_temperature,wind_speed,meeting_key,wind_direction,air_temperature,humidity
2023-03-04T14:45:42.421000+00:00,7768,1017.5,0,29.8,0.8,1141,338,24.7,17.0
2023-03-04T14:46:42.217000+00:00,7768,1017.5,0,29.7,0.8,1141,17,24.6,17.0
2023-03-04T14:47:42.231000+00:00,7768,1017.5,0,29.6,0.5,1141,323,24.6,17.0
2023-03-04T14:48:42.246000+00:00,7768,1017.5,0,29.6,1.0,1141,345,24.6,17.0
2023-03-04T14:49:42.260000+00:00,7768,1017.4,0,29.5,0.8,1141,355,24.6,18.0
2023-03-04T14:50:42.259000+00:00,7768,1017.5,0,29.5,0.8,1141,345,24.5,18.0
2023-03-04T14:51:42.258000+00:00,7768,1017.5,0,29.4,1.2,1141,351,24.5,17.0
2023-03-04T14:52:42.257000+00:00,7768,1017.4,0,29.4,1.2,1141,357,24.4,17.0
2023-03-04T14:53:42.256000+00:00,7768,1017.5,0,29.3,0.8,1141,328,24.4,17.0
2023-03-04T14:54:42.255000+00:00,7768,1017.5,0,29.3,1.1,1141,340,24.4,17.0
2023-03-04T14:55:42.254000+00:00,7768,1017.5,0,29.3,1.0,1141,325,24.4,17.0
2023-03-04T14:56:42.253000+00:00,7768,1017.5,0,29.2,0.8,1141,350,24.4,17.0
2023-03-04T14:57:42.252000+00:00,7768,1017.5,0,29.2,1.1,1141,345,24.4,16.0
2023-03-04T14:58:42.251000+00:00,7768,1017.5,0,29.1,1.0,1141,9,24.3,17.0
2023-03-04T14:59:42.250000+00:00,7768,1017.5,0,29.0,0.6,1141,47,24.3,17.0
2023-03-04T15:00:42.248000+00:00,7768,1017.5,0,29.0,0.4,1141,316,24.3,17.0
2023-03-04T15:01:42.247000+00:00,7768,1017.5,0,29.1,0.4,1141,0,24.4,17.0
2023-03-04T15:02:42.262000+00:00,7768,1017.5,0,29.1,0.0,1141,109,24.4,16.0
2023-03-04T15:03:42.245000+00:00,7768,1017.5,0,29.1,0.4,1141,23,24.4,17.0
2023-03-04T15:04:42.260000+00:00,7768,1017.5,0,29.1,0.0,1141,0,24.4,17.0
2023-03-04T15:05:42.259000+00:00,7768,1017.5,0,29.1,0.0,1141,133,24.3,16.0
2023-03-04T15:06:42.273000+00:00,7768,1017.5,0,28.9,0.6,1141,174,24.3,17.0
2023-03-04T15:07:42.288000+00:00,7768,1017.5,0,29.0,0.4,1141,217,24.3,16.0
2023-03-04T15:08:42.287000+00:00,7768,1017.5,0,29.0,0.0,1141,71,24.3,16.0
2023-03-04T15:09:42.286000+00:00,7768,1017.5,0,29.0,0.8,1141,0,24.4,16.0
2023-03-04T15:10:42.300000+00:00,7768,1017.5,0,29.0,0.0,1141,330,24.4,16.0
2023-03-04T15:11:42.299000+00:00,7768,1017.5,0,29.0,0.5,1141,344,24.4,15.0
2023-03-04T15:12:42.314000+00:00,7768,1017.5,0,28.9,0.8,1141,352,24.3,15.0
2023-03-04T15:13:42.328000+00:00,7768,1017.5,0,28.7,0.6,1141,319,24.3,16.0
